Model,Atelectasis,Cardiomegaly,Effusion,Infiltration,Mass,Nodule,Pneumonia,Pneumothorax,Consolidation,Edema,Emphysema,Fibrosis,Pleural_Thickening,Hernia,Mean
Global,0.7820417805855651,0.859828991711449,0.8565092512804775,0.6779763295431864,0.7506624882008686,0.6887686922881228,0.6990283755573309,0.8533331111259249,0.7962340843898051,0.8837884563027498,0.8411348267117498,0.7450863800810771,0.7677037206660382,0.8524366242052115,0.7896095080463967
Local,0.7580190941346144,0.7815545587029783,0.8354272567451373,0.6621332364765368,0.7047495563526525,0.6437687707318244,0.687755605864743,0.8083655534075507,0.7811512737887853,0.8567651329521736,0.7595367918794491,0.7081493439604796,0.7387875940129127,0.7845157517597721,0.7507628229121149
Fusion,0.784325201957193,0.8619645080001215,0.857599134673831,0.6772943088337987,0.6918224655465357,0.6953977234099692,0.7155655239487858,0.8553572354435629,0.796509365153339,0.8854038478990833,0.8469109561766904,0.7381853479238587,0.7725794555949764,0.8705842050368974,0.7892499485427601
Global,0.7905447756571904,0.8737305310137538,0.8627944521321437,0.6722019485752023,0.7779683594487444,0.693910138586949,0.7161860993815948,0.8564879008066129,0.7972569118212683,0.8858435429712316,0.8418059213513758,0.7466930964607547,0.7721415464956863,0.8303789237570314,0.79413886774711
Local,0.7657193923145666,0.7900190135713635,0.8381573255664182,0.6565320602782758,0.716910704172173,0.6418345182433902,0.6957261003853672,0.8179195461043337,0.7796477693847086,0.8535842635447863,0.7681191186435942,0.7262390737290971,0.7366577746584705,0.7699509925856102,0.7540726895130111
Fusion,0.7924243711234393,0.8741965722439808,0.862829304074543,0.671691893919834,0.7648918255616387,0.6997951850333108,0.7247293545065984,0.8588325593108607,0.797329703905477,0.8855690171521916,0.8447300077544833,0.7444912191968817,0.7715680764018791,0.8634469275449599,0.7968947155521483
Global,0.7928797812757147,0.8663941767616966,0.8635236140232366,0.6812970301306285,0.7904299037190862,0.7089129579458703,0.6957193181401998,0.8611170366420017,0.802262224293491,0.8899646065886198,0.8533228135500863,0.7465930854513686,0.773921435092801,0.8505470239887584,0.79834892911454
Local,0.7661026906980243,0.7902260375869083,0.8386631855267913,0.6609600380619636,0.7247401925618275,0.6418064477031222,0.7056207178599575,0.8265797095008482,0.7831074182714154,0.8618009801252383,0.7899644062231475,0.7335537754019789,0.7460635268063811,0.7692658488581665,0.7598896410846979
Fusion,0.7942103097709234,0.8698944196496342,0.8639305318921002,0.6824847969190233,0.7852952992259771,0.7081553609809954,0.7216898913348679,0.8650391825730137,0.8004253923711403,0.8907051456575007,0.8579283478759003,0.7511944094118262,0.7792241747631524,0.8658318386726541,0.8025720786499079
Global,0.793898371070351,0.878966284118165,0.8661630444037137,0.680359079985381,0.8032231074192939,0.7103037955369533,0.7073583290718226,0.8585935011739958,0.8058285172179759,0.8890743261638987,0.8506698720859559,0.7555529273522209,0.7746146052969405,0.8346403431828199,0.8006604360056777
Local,0.7727578548739592,0.7991690575948022,0.8412997700551487,0.6601619012196395,0.7407256937889372,0.6495970608529322,0.7086300000406935,0.832506814360524,0.7795510940203743,0.8618354660132498,0.8005591436535493,0.7359191584032683,0.7495567626349291,0.7760387346224509,0.7648791794381756
Fusion,0.7958264539590688,0.8814574035279473,0.8663774189353175,0.6822476097903349,0.802179044742307,0.7128115330083405,0.721691926008418,0.8624400965861536,0.8036356167410578,0.8915128414556674,0.8535983247521708,0.7530379366011953,0.7773860469819216,0.8654914487953254,0.8049781215632305
Global,0.7901195374229113,0.8828035340194916,0.8681528408153515,0.6779041878177372,0.812983500094393,0.703934936025316,0.7119017551094046,0.8651051041041707,0.8054604031829974,0.8942258825664761,0.8548937950161726,0.7703594619135185,0.7793508140103156,0.8411055688656727,0.8041643800688522
Local,0.7715953069837815,0.8079587545921001,0.8431393210685684,0.6617920780145305,0.7308282424013594,0.6564424273988161,0.7023204773615437,0.8327695746209512,0.7895150946484006,0.861424811688901,0.7978839342475706,0.7304087425427759,0.7573639111354311,0.8117382140004975,0.7682272064789448
Fusion,0.7926820269158283,0.883387603606886,0.8681204058980403,0.6773301508034041,0.813175759864074,0.7090591554720327,0.7302789266147509,0.8672756075520891,0.8040534703029065,0.8929426445230965,0.8601005637718924,0.7676218308500444,0.7821837166215126,0.8570624353586531,0.8075195927253722
Global,0.7940282164945717,0.8772429182985702,0.8673417339769169,0.6849676948330152,0.8144313384934869,0.718357502709384,0.733234629058665,0.8685587627491501,0.8059599790990147,0.8975233687267447,0.8594914700683932,0.7715585039879049,0.7809609415813896,0.8150351954405213,0.8063351611084091
Local,0.7708084038966899,0.8026753726811793,0.8411597385371417,0.6632670652746087,0.7419044742306966,0.6633927700747431,0.7086503467761954,0.8379895044034102,0.7900526761319221,0.8616258281150739,0.8114983792431344,0.747876060470962,0.7573247545776,0.8072542319626094,0.7718199718839976
Fusion,0.7950806943965174,0.8799268300088047,0.8672595551239216,0.6859725086976692,0.8158018501038323,0.7225050980715462,0.7416663162506663,0.8707747261293692,0.8055963301990163,0.895378437244759,0.8594128773324576,0.7732764042690257,0.786812120887694,0.8415266922395471,0.8100707457824877
Global,0.7939814544457127,0.8929289249172664,0.8702427488467671,0.6864912343629646,0.8176916745327543,0.7337926852940208,0.7229452849153373,0.8665066773326223,0.8043058023494503,0.8967102277883655,0.8561067429074423,0.7647381346611452,0.7847308754910679,0.8386071944455356,0.8092699758778894
Local,0.779690229076527,0.8099637186143243,0.847576862177487,0.6677409293965441,0.7444619973569945,0.678223936157286,0.7071528270432531,0.8393340443970401,0.7949161426882688,0.8680465559488155,0.8198606463466603,0.7403572491358722,0.768408910446474,0.8052228026306028,0.7764969179582965
Fusion,0.7979333563383149,0.8942530436894678,0.8711239104284808,0.6858637710017517,0.8133411364923542,0.7339042753047846,0.735139083501646,0.8684489552548348,0.8063826093168883,0.8975614847082313,0.8626089819271638,0.7671825454355193,0.7874762954129332,0.8632221829464671,0.8131744022684885
Global,0.7985000752085933,0.898737362236998,0.8719938055545419,0.6869606268289233,0.8223154238248064,0.7281102081711266,0.7271017838661239,0.8725662733595537,0.8075101078195104,0.8987045103911426,0.8603976879763592,0.7621443886465976,0.7891550708733696,0.8380660618200386,0.811590241898406
Local,0.777166228687212,0.8229403861918207,0.8452519179483917,0.6693762764830686,0.7494465546535775,0.6754163437913655,0.7145966802266355,0.8401095482523387,0.792209544007955,0.8706629458208548,0.83230012993999,0.7428428088541628,0.7533631270129693,0.8379176867453054,0.7802571556154033
Fusion,0.8009009104663818,0.9012108343200655,0.8720679536467606,0.6861264864453802,0.8227604304323202,0.7266659981007395,0.7423886253609849,0.8725105363346147,0.8070029515580622,0.8989758598783919,0.8649855389365879,0.7682976545646988,0.7920868561844064,0.8584229038747715,0.815314538578869
Global,0.7989306222847486,0.8997369979050915,0.8704848022140574,0.687901512191817,0.8260956767981876,0.7298679623310268,0.7359359973088051,0.8708089831048299,0.8056487695749441,0.8981491060894818,0.8615986286440832,0.7756477824806872,0.7896145408620985,0.8256309213655744,0.8125751645111023
