Model,Atelectasis,Cardiomegaly,Effusion,Infiltration,Mass,Nodule,Pneumonia,Pneumothorax,Consolidation,Edema,Emphysema,Fibrosis,Pleural_Thickening,Hernia,Mean
Global,0.7268263743264407,0.6953839906488145,0.7983051820082266,0.6429611488129495,0.6686521427222957,0.6277705623244437,0.6616707518390059,0.7809499737054567,0.755921184344863,0.8406112169888375,0.7109734670923482,0.650356606013305,0.7112907686680128,0.655667273258884,0.709095760196706
Local,0.6553026039869402,0.5911803215229074,0.709835358488483,0.6144463710961741,0.5638243534075892,0.5567130274069988,0.5449296613353698,0.6688894814419778,0.6600946110182087,0.7456205191033669,0.6391036847767617,0.5171247734082989,0.6022677594815871,0.5495823678043543,0.6156367781627871
Fusion,0.6882265371309249,0.5997214378965905,0.7632649455576794,0.6114801317002536,0.5916444780064187,0.577855296903258,0.5976121071214932,0.7177543719307602,0.727315037494673,0.7929045285416099,0.6385843177801219,0.5844242799479834,0.6400968356544745,0.5995727670642245,0.6521755051950332
Global,0.7524095063661862,0.7665057534080215,0.8185747442397615,0.6593479842163922,0.699251198791769,0.6635388906953158,0.666756418377714,0.7976745994711465,0.7619787110671383,0.8633800707868228,0.7495000628741889,0.7048808642695271,0.737020716297356,0.7016919122492352,0.7387508166507554
Local,0.6836555357948664,0.6090513707987977,0.7580488494804642,0.6277185905052549,0.6045277704360958,0.578043023447899,0.6070455319247062,0.7179289899191906,0.729349062238582,0.7942812414919684,0.6741283192332144,0.5709925561287945,0.638993636811526,0.621372993118015,0.6582241050949554
Fusion,0.7228693405533584,0.633210750827337,0.7964404861370356,0.6370641619188847,0.6527464602605247,0.6106972906775967,0.6354939983912515,0.7627079490996896,0.7411166658774799,0.833267991650785,0.6823334008648693,0.6245112540999064,0.6687501425001314,0.6119577218316468,0.6866548296207499
Global,0.7607005016855574,0.796674712329599,0.8351938968713092,0.6634750887270515,0.7236520294506323,0.6458658323538125,0.7005421726786747,0.8189700316275211,0.7760514665995443,0.8720727833741719,0.7622478046429095,0.7124394620007215,0.747617149977547,0.7488206363545117,0.7545945406195403
Local,0.6989834452614162,0.6288114430579591,0.773263905457206,0.6398362460925252,0.6406738908816311,0.594390613949628,0.5821723259981091,0.7395831018672829,0.7464677667097812,0.8024997731191579,0.6916833166833166,0.6425944436390272,0.6606048349922827,0.6216762892266604,0.6759458140668559
Fusion,0.7372022403312717,0.6810987643076176,0.8171663203303621,0.6437044590210763,0.6858284311874646,0.6279136067214256,0.6394799238760802,0.7831189031842323,0.7550190193982079,0.8431550049913786,0.7089966414704176,0.6423410097460319,0.6931783824079003,0.6235331596472165,0.7058382761871916
Global,0.7687250816234439,0.8322669034824058,0.84200218873317,0.6741575036711763,0.7345347177647725,0.6640495438114224,0.7117912045131772,0.8346249138946292,0.785472486045934,0.8813553861511935,0.790917779772675,0.7243712931886779,0.7622548873827658,0.7999467595320076,0.7718907606833892
